VaccinationDate,age_group,first_dose,second_dose
12/20/2020,20-29,392,0
12/20/2020,80-89,93,0
12/20/2020,0-19,21,0
12/20/2020,60-69,1516,0
12/20/2020,50-59,1786,0
12/20/2020,40-49,1867,0
12/20/2020,30-39,1197,0
12/20/2020,90+,7,0
12/20/2020,70-79,493,0
12/21/2020,0-19,67,0
12/21/2020,20-29,1064,0
12/21/2020,40-49,3784,0
12/21/2020,80-89,1164,0
12/21/2020,70-79,4886,0
12/21/2020,90+,167,0
12/21/2020,60-69,7283,0
12/21/2020,30-39,2779,0
12/21/2020,50-59,3690,0
12/22/2020,90+,456,0
12/22/2020,80-89,3498,0
12/22/2020,50-59,4663,0
12/22/2020,20-29,1575,0
12/22/2020,0-19,102,0
12/22/2020,70-79,11763,0
12/22/2020,40-49,4530,0
12/22/2020,60-69,14430,0
12/22/2020,30-39,3589,0
12/23/2020,0-19,160,0
12/23/2020,20-29,2123,0
12/23/2020,90+,1027,0
12/23/2020,40-49,5033,0
12/23/2020,30-39,3847,0
12/23/2020,70-79,18009,0
12/23/2020,80-89,5674,0
12/23/2020,50-59,5334,0
12/23/2020,60-69,21607,0
12/24/2020,0-19,202,0
12/24/2020,30-39,3780,0
12/24/2020,70-79,21763,0
12/24/2020,40-49,5193,0
12/24/2020,80-89,7675,0
12/24/2020,60-69,25637,0
12/24/2020,90+,1349,0
12/24/2020,50-59,5658,0
12/24/2020,20-29,2069,0
12/25/2020,80-89,4533,0
12/25/2020,90+,764,0
12/25/2020,20-29,753,0
12/25/2020,0-19,126,0
12/25/2020,50-59,2967,0
12/25/2020,60-69,13403,0
12/25/2020,70-79,12283,0
12/25/2020,40-49,2240,0
12/25/2020,30-39,1372,0
12/26/2020,90+,691,0
12/26/2020,20-29,482,0
12/26/2020,30-39,970,0
12/26/2020,70-79,10606,0
12/26/2020,40-49,1678,0
12/26/2020,60-69,11901,0
12/26/2020,50-59,2404,0
12/26/2020,0-19,92,0
12/26/2020,80-89,3749,0
12/27/2020,50-59,10031,0
12/27/2020,30-39,6044,0
12/27/2020,60-69,32937,0
12/27/2020,40-49,8432,0
12/27/2020,90+,2388,0
12/27/2020,70-79,28543,0
12/27/2020,80-89,11875,0
12/27/2020,20-29,3579,0
12/27/2020,0-19,492,0
12/28/2020,40-49,13371,0
12/28/2020,60-69,40007,0
12/28/2020,90+,2611,0
12/28/2020,80-89,13680,0
12/28/2020,50-59,14781,0
12/28/2020,70-79,32873,0
12/28/2020,30-39,9509,0
12/28/2020,20-29,6669,0
12/28/2020,0-19,1263,0
12/29/2020,50-59,18545,0
12/29/2020,40-49,16186,0
12/29/2020,60-69,43974,0
12/29/2020,30-39,11478,0
12/29/2020,70-79,35896,0
12/29/2020,90+,4365,0
12/29/2020,80-89,16458,0
12/29/2020,0-19,1448,0
12/29/2020,20-29,7548,0
12/30/2020,50-59,21016,0
12/30/2020,0-19,1451,0
12/30/2020,80-89,15459,0
12/30/2020,70-79,32957,0
12/30/2020,90+,3897,0
12/30/2020,20-29,8211,0
12/30/2020,60-69,42042,0
12/30/2020,30-39,11584,0
12/30/2020,40-49,16076,0
12/31/2020,20-29,9660,0
12/31/2020,50-59,26920,0
12/31/2020,30-39,13719,0
12/31/2020,40-49,19267,0
12/31/2020,70-79,29631,0
12/31/2020,60-69,38838,0
12/31/2020,0-19,1805,0
12/31/2020,80-89,14530,0
12/31/2020,90+,3766,0
1/1/2021,60-69,17552,0
1/1/2021,40-49,9356,0
1/1/2021,80-89,6122,0
1/1/2021,0-19,821,0
1/1/2021,20-29,3322,0
1/1/2021,70-79,12480,0
1/1/2021,90+,1478,0
1/1/2021,50-59,14359,0
1/1/2021,30-39,5735,0
1/2/2021,80-89,5430,0
1/2/2021,0-19,858,0
1/2/2021,50-59,18327,0
1/2/2021,20-29,3343,0
1/2/2021,90+,1629,0
1/2/2021,60-69,14323,0
1/2/2021,30-39,5568,0
1/2/2021,70-79,10361,0
1/2/2021,40-49,11770,0
1/3/2021,20-29,9785,0
1/3/2021,50-59,28657,0
1/3/2021,90+,2965,0
1/3/2021,80-89,12985,0
1/3/2021,0-19,2143,0
1/3/2021,70-79,25684,0
1/3/2021,30-39,12609,0
1/3/2021,60-69,35335,0
1/3/2021,40-49,19232,0
1/4/2021,30-39,14083,0
1/4/2021,70-79,23438,0
1/4/2021,80-89,12094,0
1/4/2021,20-29,11295,0
1/4/2021,0-19,2267,0
1/4/2021,60-69,32208,0
1/4/2021,50-59,30943,0
1/4/2021,90+,2664,0
1/4/2021,40-49,22839,0
1/5/2021,20-29,8658,0
1/5/2021,80-89,10418,0
1/5/2021,0-19,1829,0
1/5/2021,30-39,11032,0
1/5/2021,70-79,20575,0
1/5/2021,40-49,17356,0
1/5/2021,90+,2288,0
1/5/2021,60-69,28951,0
1/5/2021,50-59,23741,0
1/6/2021,90+,2115,0
1/6/2021,40-49,13708,0
1/6/2021,60-69,24556,0
1/6/2021,80-89,8823,0
1/6/2021,20-29,7909,0
1/6/2021,0-19,1682,0
1/6/2021,70-79,16445,0
1/6/2021,30-39,9070,0
1/6/2021,50-59,18762,0
1/7/2021,60-69,23634,0
1/7/2021,30-39,11911,0
1/7/2021,70-79,15374,0
1/7/2021,40-49,19114,0
1/7/2021,90+,1759,0
1/7/2021,20-29,8775,0
1/7/2021,80-89,7966,0
1/7/2021,0-19,1956,0
1/7/2021,50-59,25333,0
1/8/2021,90+,618,0
1/8/2021,70-79,5793,0
1/8/2021,50-59,14572,0
1/8/2021,40-49,16215,0
1/8/2021,30-39,8972,0
1/8/2021,0-19,1915,0
1/8/2021,80-89,2796,0
1/8/2021,20-29,5745,0
1/8/2021,60-69,9668,0
1/9/2021,80-89,1551,0
1/9/2021,90+,331,0
1/9/2021,30-39,6893,0
1/9/2021,70-79,3234,0
1/9/2021,60-69,5417,0
1/9/2021,40-49,12806,0
1/9/2021,50-59,9759,0
1/9/2021,20-29,3446,0
1/9/2021,0-19,1018,0
1/10/2021,40-49,9154,1575
1/10/2021,70-79,3439,337
1/10/2021,60-69,5580,1207
1/10/2021,30-39,5815,969
1/10/2021,90+,361,7
1/10/2021,20-29,3254,299
1/10/2021,80-89,1753,44
1/10/2021,0-19,736,15
1/10/2021,50-59,7445,1537
1/11/2021,50-59,5089,3010
1/11/2021,60-69,2505,5580
1/11/2021,40-49,5253,2972
1/11/2021,30-39,3337,2158
1/11/2021,70-79,1678,3650
1/11/2021,90+,203,129
1/11/2021,20-29,1772,819
1/11/2021,80-89,866,868
1/11/2021,0-19,310,51
1/12/2021,50-59,7792,3959
1/12/2021,20-29,2419,1303
1/12/2021,60-69,3136,11293
1/12/2021,40-49,4481,3950
1/12/2021,90+,181,353
1/12/2021,30-39,2924,3037
1/12/2021,70-79,1759,8940
1/12/2021,80-89,862,2718
1/12/2021,0-19,351,77
1/13/2021,70-79,3140,16242
1/13/2021,30-39,5153,3616
1/13/2021,40-49,8023,4820
1/13/2021,50-59,23383,5050
1/13/2021,20-29,3814,1900
1/13/2021,0-19,694,137
1/13/2021,60-69,5990,19132
1/13/2021,80-89,1481,4971
1/13/2021,90+,240,929
1/14/2021,0-19,1047,166
1/14/2021,80-89,1088,6905
1/14/2021,50-59,23364,5450
1/14/2021,60-69,5102,23972
1/14/2021,40-49,10348,5138
1/14/2021,90+,202,1188
1/14/2021,30-39,7237,3749
1/14/2021,70-79,2388,20241
1/14/2021,20-29,5525,1945
1/15/2021,0-19,694,118
1/15/2021,20-29,3188,724
1/15/2021,80-89,546,4171
1/15/2021,50-59,11820,2695
1/15/2021,90+,112,691
1/15/2021,70-79,1179,11488
1/15/2021,40-49,5925,1995
1/15/2021,30-39,4736,1295
1/15/2021,60-69,2415,12699
1/16/2021,20-29,2095,330
1/16/2021,0-19,542,65
1/16/2021,50-59,12240,1784
1/16/2021,40-49,8264,1277
1/16/2021,30-39,3370,696
1/16/2021,70-79,746,8639
1/16/2021,60-69,1678,9600
1/16/2021,90+,76,578
1/16/2021,80-89,356,3008
1/17/2021,0-19,2687,312
1/17/2021,80-89,1054,9661
1/17/2021,20-29,10384,2567
1/17/2021,70-79,2259,24627
1/17/2021,30-39,6814,4560
1/17/2021,90+,190,1783
1/17/2021,60-69,4483,27155
1/17/2021,40-49,18393,6351
1/17/2021,50-59,21990,7393
1/18/2021,20-29,15011,4758
1/18/2021,80-89,878,12571
1/18/2021,30-39,7316,8119
1/18/2021,60-69,3942,36391
1/18/2021,90+,146,2542
1/18/2021,40-49,20606,11464
1/18/2021,0-19,3836,733
1/18/2021,50-59,15882,12806
1/18/2021,70-79,1909,30791
1/19/2021,0-19,3125,1109
1/19/2021,80-89,857,15067
1/19/2021,90+,202,3848
1/19/2021,30-39,9106,9519
1/19/2021,40-49,25310,13599
1/19/2021,70-79,1939,32854
1/19/2021,60-69,3891,39356
1/19/2021,20-29,13983,6687
1/19/2021,50-59,14162,15443
1/20/2021,90+,139,3383
1/20/2021,70-79,1793,32202
1/20/2021,30-39,12657,10702
1/20/2021,0-19,2921,1334
1/20/2021,20-29,12010,7869
1/20/2021,80-89,811,14385
1/20/2021,50-59,12872,18660
1/20/2021,60-69,3635,40097
1/20/2021,40-49,29691,14740
1/21/2021,20-29,9538,9662
1/21/2021,60-69,3840,41914
1/21/2021,90+,213,4015
1/21/2021,30-39,13638,13405
1/21/2021,70-79,2032,32942
1/21/2021,40-49,26005,18805
1/21/2021,50-59,11063,25706
1/21/2021,0-19,2270,1741
1/21/2021,80-89,980,15738
1/22/2021,30-39,8112,5489
1/22/2021,40-49,15348,8621
1/22/2021,70-79,915,13710
1/22/2021,60-69,2067,18518
1/22/2021,80-89,492,6329
1/22/2021,90+,113,1505
1/22/2021,0-19,1216,723
1/22/2021,50-59,5592,12960
1/22/2021,20-29,3857,3060
1/23/2021,90+,106,1494
1/23/2021,70-79,801,9404
1/23/2021,60-69,1570,12436
1/23/2021,50-59,5953,11294
1/23/2021,40-49,14563,7498
1/23/2021,80-89,385,4946
1/23/2021,0-19,6650,483
1/23/2021,20-29,3472,2153
1/23/2021,30-39,6346,3755
1/24/2021,50-59,8478,26991
1/24/2021,60-69,3631,33267
1/24/2021,90+,223,2991
1/24/2021,70-79,1952,24549
1/24/2021,40-49,19943,17922
1/24/2021,30-39,10548,11631
1/24/2021,20-29,11021,8654
1/24/2021,80-89,999,12564
1/24/2021,0-19,12139,1763
1/25/2021,70-79,2065,22790
1/25/2021,30-39,13353,12280
1/25/2021,90+,251,2573
1/25/2021,0-19,14688,1864
1/25/2021,50-59,9562,28204
1/25/2021,20-29,15474,9248
1/25/2021,80-89,1003,11806
1/25/2021,60-69,3859,30378
1/25/2021,40-49,20479,20023
1/26/2021,20-29,15529,8312
1/26/2021,0-19,14410,1764
1/26/2021,80-89,925,10407
1/26/2021,50-59,8395,25194
1/26/2021,30-39,14160,11206
1/26/2021,60-69,3482,28367
1/26/2021,40-49,19407,18178
1/26/2021,70-79,1936,20395
1/26/2021,90+,236,2237
1/27/2021,60-69,3205,28300
1/27/2021,20-29,14328,10217
1/27/2021,80-89,841,10042
1/27/2021,0-19,15695,2089
1/27/2021,30-39,13623,11114
1/27/2021,50-59,8419,23735
1/27/2021,90+,229,2275
1/27/2021,70-79,1720,19454
1/27/2021,40-49,19630,17490
1/28/2021,20-29,15962,9887
1/28/2021,0-19,13343,2125
1/28/2021,70-79,1502,18135
1/28/2021,50-59,7589,27689
1/28/2021,80-89,664,8927
1/28/2021,30-39,20221,13008
1/28/2021,90+,173,1927
1/28/2021,40-49,16977,20909
1/28/2021,60-69,2978,27684
1/29/2021,0-19,5617,1583
1/29/2021,80-89,255,3156
1/29/2021,50-59,3473,14231
1/29/2021,20-29,5966,4932
1/29/2021,90+,42,625
1/29/2021,60-69,1235,11233
1/29/2021,30-39,10676,7767
1/29/2021,70-79,524,6919
1/29/2021,40-49,8734,14164
1/30/2021,20-29,5144,3120
1/30/2021,0-19,4971,904
1/30/2021,80-89,173,1809
1/30/2021,90+,30,391
1/30/2021,30-39,10582,5798
1/30/2021,70-79,453,3809
1/30/2021,50-59,3136,9662
1/30/2021,40-49,8807,10604
1/30/2021,60-69,990,6565
1/31/2021,0-19,9520,1045
1/31/2021,30-39,21643,7517
1/31/2021,70-79,1550,6958
1/31/2021,80-89,681,3533
1/31/2021,60-69,2952,10816
1/31/2021,90+,168,741
1/31/2021,40-49,16118,12472
1/31/2021,20-29,13319,4346
1/31/2021,50-59,7227,11913
2/1/2021,80-89,844,1662
2/1/2021,60-69,3052,5098
2/1/2021,90+,229,378
2/1/2021,50-59,7581,7752
2/1/2021,20-29,19509,3014
2/1/2021,0-19,10298,579
2/1/2021,70-79,1726,3391
2/1/2021,30-39,24188,5013
2/1/2021,40-49,14844,8321
2/2/2021,90+,243,292
2/2/2021,20-29,15748,2447
2/2/2021,30-39,19960,3933
2/2/2021,70-79,1678,2645
2/2/2021,50-59,6553,8847
2/2/2021,60-69,2888,4603
2/2/2021,40-49,13302,6345
2/2/2021,80-89,892,1397
2/2/2021,0-19,8599,438
2/3/2021,50-59,5763,21539
2/3/2021,60-69,2608,6484
2/3/2021,30-39,17056,5177
2/3/2021,70-79,1562,3462
2/3/2021,40-49,10625,8101
2/3/2021,90+,236,308
2/3/2021,20-29,14696,3918
2/3/2021,80-89,863,1626
2/3/2021,0-19,6663,654
2/4/2021,70-79,1183,2766
2/4/2021,50-59,5252,22720
2/4/2021,60-69,2294,5572
2/4/2021,40-49,10497,10346
2/4/2021,30-39,23200,7359
2/4/2021,90+,141,239
2/4/2021,80-89,641,1276
2/4/2021,20-29,22638,6208
2/4/2021,0-19,6540,1433
2/5/2021,60-69,1077,2572
2/5/2021,50-59,2694,11420
2/5/2021,40-49,5208,5514
2/5/2021,80-89,241,573
2/5/2021,0-19,2745,524
2/5/2021,90+,77,113
2/5/2021,20-29,9914,2542
2/5/2021,30-39,11284,4153
2/5/2021,70-79,537,1245
2/6/2021,0-19,1940,341
2/6/2021,50-59,1626,10041
2/6/2021,40-49,3073,5491
2/6/2021,80-89,139,264
2/6/2021,60-69,558,1429
2/6/2021,90+,34,56
2/6/2021,70-79,262,632
2/6/2021,30-39,6929,2374
2/6/2021,20-29,6972,1512
2/7/2021,50-59,4362,23159
2/7/2021,20-29,16756,9219
2/7/2021,0-19,4634,1827
2/7/2021,30-39,16482,7383
2/7/2021,70-79,1121,2448
2/7/2021,40-49,7765,18375
2/7/2021,60-69,2089,4731
2/7/2021,80-89,562,1177
2/7/2021,90+,167,226
2/8/2021,50-59,4478,16462
2/8/2021,0-19,4299,2584
2/8/2021,80-89,568,923
2/8/2021,20-29,19914,12127
2/8/2021,60-69,2103,4026
2/8/2021,40-49,7825,19960
2/8/2021,90+,135,163
2/8/2021,70-79,1112,2007
2/8/2021,30-39,18047,6950
2/9/2021,0-19,5139,2696
2/9/2021,80-89,628,843
2/9/2021,70-79,1244,1938
2/9/2021,90+,205,187
2/9/2021,20-29,22764,12051
2/9/2021,60-69,2557,3807
2/9/2021,40-49,9093,23256
2/9/2021,30-39,19071,8317
2/9/2021,50-59,5419,14182
2/10/2021,0-19,5392,2340
2/10/2021,90+,153,134
2/10/2021,80-89,571,822
2/10/2021,20-29,24075,10753
2/10/2021,50-59,5744,13131
2/10/2021,30-39,20594,11466
2/10/2021,60-69,2697,3690
2/10/2021,40-49,9817,27789
2/10/2021,70-79,1293,1820
2/11/2021,30-39,23143,13569
2/11/2021,80-89,636,1003
2/11/2021,20-29,27363,10387
2/11/2021,0-19,6386,2269
2/11/2021,90+,137,200
2/11/2021,40-49,11878,26450
2/11/2021,50-59,6821,11645
2/11/2021,70-79,1400,2093
2/11/2021,60-69,3128,3917
2/12/2021,20-29,12967,3842
2/12/2021,90+,61,101
2/12/2021,30-39,11134,7795
2/12/2021,40-49,5887,15124
2/12/2021,70-79,598,937
2/12/2021,80-89,285,473
2/12/2021,0-19,3080,1156
2/12/2021,60-69,1458,2098
2/12/2021,50-59,3467,5883
2/13/2021,80-89,170,278
2/13/2021,90+,26,72
2/13/2021,60-69,1019,1302
2/13/2021,30-39,7330,4637
2/13/2021,70-79,377,619
2/13/2021,40-49,4287,11650
2/13/2021,50-59,2593,5377
2/13/2021,20-29,9115,2365
2/13/2021,0-19,2471,4046
2/14/2021,60-69,3532,3667
2/14/2021,30-39,19897,11289
2/14/2021,70-79,1657,2002
2/14/2021,40-49,11640,21900
2/14/2021,90+,149,214
2/14/2021,80-89,715,952
2/14/2021,20-29,23299,9991
2/14/2021,0-19,6876,9896
2/14/2021,50-59,6964,8959
2/15/2021,40-49,12775,20487
2/15/2021,30-39,21516,12489
2/15/2021,70-79,1748,2117
2/15/2021,90+,207,283
2/15/2021,50-59,7852,9515
2/15/2021,80-89,812,1038
2/15/2021,0-19,7487,12365
2/15/2021,20-29,25069,13177
2/15/2021,60-69,3853,4017
2/16/2021,90+,167,239
2/16/2021,80-89,769,963
2/16/2021,70-79,1813,1939
2/16/2021,40-49,12698,18988
2/16/2021,60-69,3833,3505
2/16/2021,50-59,7606,8467
2/16/2021,30-39,21424,13712
2/16/2021,0-19,8488,14360
2/16/2021,20-29,26521,15864
2/17/2021,60-69,2384,2999
2/17/2021,40-49,9750,18276
2/17/2021,70-79,959,1593
2/17/2021,30-39,15884,12832
2/17/2021,90+,86,160
2/17/2021,80-89,371,708
2/17/2021,20-29,20629,15842
2/17/2021,0-19,6344,14979
2/17/2021,50-59,5389,7948
2/18/2021,90+,69,146
2/18/2021,50-59,6344,7947
2/18/2021,60-69,2866,3058
2/18/2021,30-39,17959,18768
2/18/2021,70-79,1048,1492
2/18/2021,40-49,11158,17725
2/18/2021,20-29,21855,15656
2/18/2021,80-89,386,640
2/18/2021,0-19,7290,14062
2/19/2021,50-59,3539,3692
2/19/2021,20-29,12678,6214
2/19/2021,90+,25,54
2/19/2021,60-69,1483,1330
2/19/2021,40-49,6390,9325
2/19/2021,70-79,475,592
2/19/2021,30-39,10568,10358
2/19/2021,80-89,184,259
2/19/2021,0-19,4217,6168
2/20/2021,70-79,435,393
2/20/2021,40-49,5222,7709
2/20/2021,30-39,7629,8138
2/20/2021,50-59,2939,2881
2/20/2021,0-19,3900,4451
2/20/2021,20-29,10139,4042
2/20/2021,60-69,1132,862
2/20/2021,80-89,160,145
2/20/2021,90+,28,21
2/21/2021,0-19,8545,10050
2/21/2021,80-89,767,825
2/21/2021,50-59,7312,7625
2/21/2021,40-49,12462,17576
2/21/2021,60-69,3804,3242
2/21/2021,70-79,1833,1730
2/21/2021,90+,175,212
2/21/2021,30-39,20577,22698
2/21/2021,20-29,23838,14386
2/22/2021,50-59,7698,7636
